"","team","season","avg_to_epa","tot_to_epa","fum_lost_rate","ints","fumbles","sacks","tos","sacks_pct","avg_to_forced_epa","tot_to_forced_epa","fum_lost_rate_forced","ints_forced","fumbles_forced","sacks_forced","tos_forced","sacks_forced_pct","net_tos","net_to_epa_tot","net_to_epa_avg"
"1","BAL",2006,-2.78125321181978,-119.59388810825,0.615384615384615,16,13,15,43,0.348837209302326,-2.5644823030985,-256.44823030985,0.571428571428571,30,14,56,100,0.56,-57,136.854342201599,0.957023372039157
"2","NE",2010,-1.92091327825997,-76.836531130399,0.571428571428571,6,7,27,40,0.675,-3.06944984841368,-208.72258969213,0.909090909090909,25,11,32,68,0.470588235294118,-28,131.886058561731,1.22116720890492
"3","CAR",2015,-2.43873956139692,-153.640592368006,0.642857142857143,12,14,39,63,0.619047619047619,-2.785177946241,-281.302972570341,0.583333333333333,31,24,46,101,0.455445544554455,-38,127.662380202334,0.778429147575209
"4","TB",2002,-2.47137169357324,-163.110531775834,0.523809523809524,13,21,32,66,0.484848484848485,-2.94183522835618,-288.299852378906,0.4,40,20,38,98,0.387755102040816,-32,125.189320603072,0.763349515872392
"5","SEA",2013,-1.91143307045885,-131.888881861661,0.529411764705882,9,17,43,69,0.623188405797101,-2.84723935464124,-253.404302563071,0.523809523809524,32,21,36,89,0.404494382022472,-20,121.51542070141,0.769084941148164
"6","JAX",2017,-2.45130362828562,-127.467788670852,0.388888888888889,13,18,21,52,0.403846153846154,-2.67265253907167,-248.556686133665,0.55,24,20,49,93,0.526881720430108,-41,121.088897462813,0.835095844571122
"7","SF",2011,-1.64217152779447,-101.814634723257,0.416666666666667,5,12,45,62,0.725806451612903,-2.53600651716981,-220.632566993773,0.65,25,20,42,87,0.482758620689655,-25,118.817932270517,0.797435787050447
"8","NO",2009,-2.74624793112133,-123.58115690046,0.7,12,20,14,45,0.311111111111111,-3.10216084531333,-241.96854593444,0.705882352941177,30,17,31,78,0.397435897435897,-33,118.38738903398,0.962499097837235
"9","NE",2007,-2.02900525903175,-93.3342419154604,0.545454545454545,12,11,24,46,0.521739130434783,-2.63666037234907,-210.932829787926,0.611111111111111,23,18,40,80,0.5,-34,117.598587872465,0.933322125971946
"10","TB",2020,-2.53135116516798,-126.567558258399,0.444444444444444,15,9,26,50,0.52,-2.72343153977184,-242.385407039694,0.578947368421053,22,19,48,89,0.539325842696629,-39,115.817848781295,0.833221933678382
"11","KC",1999,-2.2367725821528,-109.601856525487,0.461538461538462,15,13,21,49,0.428571428571429,-2.9639333508018,-222.295001310135,0.875,25,16,34,75,0.453333333333333,-26,112.693144784648,0.908815683747158
"12","IND",2005,-2.1238735492152,-84.9549419686082,0.444444444444444,11,9,21,40,0.525,-2.6081661039121,-195.612457793407,0.565217391304348,19,23,33,75,0.44,-35,110.657515824799,0.96223926804173
"13","NE",2004,-2.279678015712,-129.941646895584,0.611111111111111,14,18,27,57,0.473684210526316,-2.51415910753288,-238.845115215624,0.653846153846154,27,26,42,95,0.442105263157895,-38,108.90346832004,0.71647018631605
